Entry	Gene names	Transmembrane
Q92932	PTPRN2 KIAA0387	TRANSMEM 616 636 Helical. {ECO:0000255}.
P18433	PTPRA PTPA PTPRL2	TRANSMEM 152 174 Helical. {ECO:0000255}.
Q13332	PTPRS	TRANSMEM 1283 1303 Helical. {ECO:0000255}.
Q92729	PTPRU FMI PCP2 PTPRO	TRANSMEM 750 770 Helical. {ECO:0000255}.
P53801	PTTG1IP C21orf1 C21orf3	TRANSMEM 97 117 Helical. {ECO:0000255}.
Q6ZRP7	QSOX2 QSCN6L1 SOXN	TRANSMEM 662 682 Helical. {ECO:0000255}.
Q15109	AGER RAGE	TRANSMEM 343 363 Helical. {ECO:0000255}.
Q8NFJ5	GPRC5A GPCR5A RAI3 RAIG1	TRANSMEM 34 54 Helical; Name=1. {ECO:0000255}.; TRANSMEM 69 89 Helical; Name=2. {ECO:0000255}.; TRANSMEM 98 118 Helical; Name=3. {ECO:0000255}.; TRANSMEM 130 150 Helical; Name=4. {ECO:0000255}.; TRANSMEM 177 197 Helical; Name=5. {ECO:0000255}.; TRANSMEM 213 233 Helical; Name=6. {ECO:0000255}.; TRANSMEM 248 268 Helical; Name=7. {ECO:0000255}.
O60894	RAMP1	TRANSMEM 118 138 Helical. {ECO:0000255}.
P60602	ROMO1 C20orf52	TRANSMEM 22 44 Helical. {ECO:0000255}.
Q01973	ROR1 NTRKR1	TRANSMEM 407 427 Helical. {ECO:0000255}.
P08922	ROS1 MCF3 ROS	TRANSMEM 1860 1882 Helical. {ECO:0000255}.
P04843	RPN1	TRANSMEM 439 457 Helical. {ECO:0000255}.
P54829	PTPN5	TRANSMEM 88 108 Helical. {ECO:0000255}.; TRANSMEM 146 166 Helical. {ECO:0000255}.
Q8TE99	PXYLP1 ACPL2 HEL124 XYLP UNQ370/PRO706	TRANSMEM 7 27 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
O00237	RNF103 ZFP103	TRANSMEM 6 26 Helical. {ECO:0000255}.; TRANSMEM 326 346 Helical. {ECO:0000255}.; TRANSMEM 366 386 Helical. {ECO:0000255}.; TRANSMEM 411 431 Helical. {ECO:0000255}.
O43567	RNF13 RZF	TRANSMEM 183 203 Helical. {ECO:0000255}.
Q9BY78	RNF26	TRANSMEM 24 44 Helical. {ECO:0000255}.; TRANSMEM 60 80 Helical. {ECO:0000255}.; TRANSMEM 147 169 Helical. {ECO:0000255}.; TRANSMEM 183 203 Helical. {ECO:0000255}.; TRANSMEM 220 240 Helical. {ECO:0000255}.
Q68DV7	RNF43	TRANSMEM 198 218 Helical. {ECO:0000255}.
Q96TC7	RMDN3 FAM82A2 FAM82C PTPIP51 hucep-10 UNQ3122/PRO10274	TRANSMEM 13 35 Helical. {ECO:0000255}.
Q8WU17	RNF139 TRC8	TRANSMEM 51 71 Helical. {ECO:0000255}.; TRANSMEM 85 105 Helical. {ECO:0000255}.; TRANSMEM 125 145 Helical. {ECO:0000255}.; TRANSMEM 154 174 Helical. {ECO:0000255}.; TRANSMEM 178 198 Helical. {ECO:0000255}.; TRANSMEM 293 313 Helical. {ECO:0000255}.; TRANSMEM 323 343 Helical. {ECO:0000255}.; TRANSMEM 356 376 Helical. {ECO:0000255}.; TRANSMEM 390 410 Helical. {ECO:0000255}.; TRANSMEM 420 440 Helical. {ECO:0000255}.; TRANSMEM 469 489 Helical. {ECO:0000255}.; TRANSMEM 495 512 Helical. {ECO:0000255}.
Q8N8N0	RNF152	TRANSMEM 167 187 Helical. {ECO:0000255}.
Q9H6Y7	RNF167 LP2254	TRANSMEM 174 194 Helical. {ECO:0000255}.
Q99942	RNF5 G16 NG2 RMA1	TRANSMEM 118 138 Helical. {ECO:0000255}.; TRANSMEM 160 180 Helical. {ECO:0000255}.
Q9Y6N7	ROBO1 DUTT1	TRANSMEM 898 918 Helical. {ECO:0000255}.
Q9HCK4	ROBO2 KIAA1568	TRANSMEM 860 880 Helical. {ECO:0000255}.
E7ERA6	RNF223	TRANSMEM 199 219 Helical. {ECO:0000255}.
Q9Y225	RNF24	TRANSMEM 24 44 Helical. {ECO:0000255}.
Q5M7Z0	RNFT1 PTD016	TRANSMEM 158 178 Helical. {ECO:0000255}.; TRANSMEM 203 223 Helical. {ECO:0000255}.; TRANSMEM 233 253 Helical. {ECO:0000255}.; TRANSMEM 256 276 Helical. {ECO:0000255}.; TRANSMEM 298 318 Helical. {ECO:0000255}.; TRANSMEM 323 343 Helical. {ECO:0000255}.
Q96EX2	RNFT2 TMEM118	TRANSMEM 182 202 Helical. {ECO:0000255}.; TRANSMEM 215 235 Helical. {ECO:0000255}.; TRANSMEM 256 276 Helical. {ECO:0000255}.; TRANSMEM 330 350 Helical. {ECO:0000255}.
Q9NR77	PXMP2 PMP22	TRANSMEM 31 51 Helical. {ECO:0000255}.; TRANSMEM 76 96 Helical. {ECO:0000255}.; TRANSMEM 115 135 Helical. {ECO:0000255}.; TRANSMEM 174 194 Helical. {ECO:0000255}.
Q96FB5	RRNAD1 C1orf66 CGI-41	TRANSMEM 406 426 Helical. {ECO:0000255}.
Q5JTH9	RRP12 KIAA0690	TRANSMEM 903 923 Helical. {ECO:0000255}.
Q9P2E9	RRBP1 KIAA1398	TRANSMEM 8 28 Helical. {ECO:0000255}.
Q96LZ7	RMDN2 FAM82A FAM82A1 BLOCK18 UNQ9371/PRO34163	TRANSMEM 9 28 Helical. {ECO:0000255}.
Q8WVZ7	RNF133	TRANSMEM 190 210 Helical. {ECO:0000255}.
Q96MT1	RNF145	TRANSMEM 53 73 Helical. {ECO:0000255}.; TRANSMEM 77 97 Helical. {ECO:0000255}.; TRANSMEM 123 143 Helical. {ECO:0000255}.; TRANSMEM 146 166 Helical. {ECO:0000255}.; TRANSMEM 168 188 Helical. {ECO:0000255}.; TRANSMEM 205 222 Helical. {ECO:0000255}.; TRANSMEM 225 245 Helical. {ECO:0000255}.; TRANSMEM 275 295 Helical. {ECO:0000255}.; TRANSMEM 316 336 Helical. {ECO:0000255}.; TRANSMEM 340 360 Helical. {ECO:0000255}.; TRANSMEM 384 404 Helical. {ECO:0000255}.; TRANSMEM 410 430 Helical. {ECO:0000255}.; TRANSMEM 460 480 Helical. {ECO:0000255}.; TRANSMEM 482 502 Helical. {ECO:0000255}.
Q8NC42	RNF149 DNAPTP2	TRANSMEM 201 221 Helical. {ECO:0000255}.
Q8N4F7	RNF175	TRANSMEM 51 71 Helical. {ECO:0000255}.; TRANSMEM 83 103 Helical. {ECO:0000255}.; TRANSMEM 104 121 Helical. {ECO:0000255}.; TRANSMEM 149 169 Helical. {ECO:0000255}.; TRANSMEM 180 200 Helical. {ECO:0000255}.
Q86T96	RNF180	TRANSMEM 565 585 Helical. {ECO:0000255}.
Q8N6D2	RNF182	TRANSMEM 184 204 Helical. {ECO:0000255}.; TRANSMEM 211 231 Helical. {ECO:0000255}.
Q8TC41	RNF217 C6orf172 IBRDC1	TRANSMEM 503 523 Helical. {ECO:0000255}.
M0QZC1	RNF225	TRANSMEM 203 223 Helical. {ECO:0000255}.
Q96MS0	ROBO3	TRANSMEM 892 912 Helical. {ECO:0000255}.
